district,week_start,iso_year,week_of_year,imd_rain_mm,rain_1w,rain_4w,rain_12w,rain_1w_lag1,rain_4w_lag1,t2m_4w,t2mmax_4w,t2m_4w_lag1,rh_4w,rain_imd_vs_nasa_ratio,rain12w_anom_ratio,drought_label,flood_label,heatwave_label
Bagalkot,2015-01-05,2015,2,0.0,0.0,0.0,0.0,0.0,,23.05,30.492,,61.10799999999999,0.0,0.0,1,0,0
Bagalkot,2015-01-12,2015,3,0.0,0.0,0.0,0.0,0.0,0.0,21.93714285714286,30.510285714285715,23.05,46.51257142857142,0.0,0.0,1,0,0
Bagalkot,2015-01-19,2015,4,0.0,0.0,0.0,0.0,0.0,0.0,21.68809523809524,30.677333333333333,21.93714285714286,43.541714285714285,0.0,0.0,1,0,0
Bagalkot,2015-01-26,2015,5,0.0,0.0,0.0,0.0,0.0,0.0,22.012142857142855,30.801214285714288,21.68809523809524,43.61985714285714,0.0,0.0,1,0,0
Bagalkot,2015-02-02,2015,6,0.0,0.0,0.0,0.0,0.0,0.0,22.107142857142858,31.263571428571428,22.012142857142855,38.97857142857143,0.0,0.0,1,0,0
Bagalkot,2015-02-09,2015,7,0.0,0.0,0.0,0.0,0.0,0.0,22.729285714285712,31.685357142857143,22.107142857142858,40.269285714285715,0.0,0.0,1,0,0
Bagalkot,2015-02-16,2015,8,0.0,0.0,0.0,0.0,0.0,0.0,23.639285714285712,32.471785714285716,22.729285714285712,38.574285714285715,0.0,0.0,1,0,0
Bagalkot,2015-02-23,2015,9,1.2901072170999317,1.2901072170999317,1.2901072170999317,1.2901072170999317,0.0,0.0,24.314642857142857,33.48285714285714,23.639285714285712,35.36642857142857,0.0,0.8401818194994763,0,0,0
Bagalkot,2015-03-02,2015,10,2.072422683238983,2.072422683238983,3.362529900338915,3.362529900338915,1.2901072170999317,1.2901072170999317,24.725357142857142,33.81964285714286,24.314642857142857,35.66178571428571,0.2943781802359095,1.9930007634519482,0,0,0
Bagalkot,2015-03-09,2015,11,4.676823645830154,4.676823645830154,8.03935354616907,8.03935354616907,2.072422683238983,3.362529900338915,25.302142857142858,34.2675,24.725357142857142,38.8125,0.37869014308826005,2.1562829532261873,0,0,0
Bagalkot,2015-03-16,2015,12,0.2967788411511315,0.2967788411511315,8.3361323873202,8.3361323873202,4.676823645830154,8.03935354616907,25.77357142857143,34.408928571428575,25.302142857142858,43.11785714285714,0.9274309803754723,2.117102759393772,0,0,0
Bagalkot,2015-03-23,2015,13,0.0,0.0,7.046025170220269,8.3361323873202,0.2967788411511315,8.3361323873202,26.73428571428572,35.01535714285714,25.77357142857143,42.86357142857143,0.0,2.1454201603776335,0,0,0
Bagalkot,2015-03-30,2015,14,0.7783259914980994,0.7783259914980994,5.751928478479385,9.1144583788183,0.0,7.046025170220269,28.032857142857143,36.013214285714284,26.73428571428572,39.75857142857143,0.6949333005042847,0.9744032975626244,0,0,0
Bagalkot,2015-04-06,2015,15,22.0617886086305,22.0617886086305,23.13689344127973,31.1762469874488,0.7783259914980994,5.751928478479385,29.28535714285714,37.2025,28.032857142857143,35.699285714285715,24.788498674305423,2.1129839507144292,0,0,0
Bagalkot,2015-04-13,2015,16,23.662416021029152,23.662416021029152,46.50253062115775,54.83866300847795,22.0617886086305,23.13689344127973,29.895357142857144,37.46357142857143,29.28535714285714,35.60714285714286,1.5014222410918092,2.683522834360912,0,0,0
Bagalkot,2015-04-20,2015,17,4.787425698505508,4.787425698505508,51.28995631966326,59.62608870698346,23.662416021029152,46.50253062115775,29.816428571428567,37.24321428571429,29.895357142857144,39.07571428571429,36.82606824951738,2.280301153841276,0,0,0
Bagalkot,2015-04-27,2015,18,1.249994663728608,1.249994663728608,51.76162499189377,60.87608337071207,4.787425698505508,51.28995631966326,29.95642857142857,37.455,29.816428571428567,42.2625,0.09556533395743685,1.9256147286399021,0,0,0
Bagalkot,2015-05-04,2015,19,3.8779354757732816,3.8779354757732816,33.57777185903655,64.75401884648535,1.249994663728608,51.76162499189377,30.343928571428574,37.94285714285714,29.95642857142857,43.597500000000004,1.9989347818755154,1.532145708967598,0,0,0
Bagalkot,2015-05-11,2015,20,9.74102431204584,9.74102431204584,19.656380150053238,74.49504315853119,3.8779354757732816,33.57777185903655,30.846071428571427,38.46964285714286,30.343928571428574,43.645,0.9809691169261554,1.1217504992755696,0,0,0
Bagalkot,2015-05-18,2015,21,4.441188206275305,4.441188206275305,19.310142657823036,77.64612414770656,9.74102431204584,19.656380150053238,30.896785714285716,38.161071428571425,30.846071428571427,47.17928571428572,0.31722770636054276,1.0576782185367355,0,0,0
Bagalkot,2015-05-25,2015,22,24.3382532182667,24.3382532182667,42.39840121236113,99.91195468273429,4.441188206275305,19.310142657823036,30.87357142857143,38.22857142857143,30.896785714285716,49.59535714285715,1216.851818322419,1.112280958270125,0,0,0
Bagalkot,2015-06-01,2015,23,23.74440586566925,23.74440586566925,62.264871602257095,118.97953690257339,24.3382532182667,42.39840121236113,30.408214285714283,37.32142857142857,30.87357142857143,53.82535714285714,0.8813810313395775,1.01787195409922,0,0,0
Bagalkot,2015-06-08,2015,24,11.642735943198204,11.642735943198204,64.16658323340945,130.32549400462045,23.74440586566925,62.264871602257095,29.637857142857143,36.36678571428571,30.408214285714283,58.41178571428571,0.8085232732413147,0.9557764408976628,0,0,0
Bagalkot,2015-06-15,2015,25,5.924004742668735,5.924004742668735,65.64939976980288,136.24949874728918,11.642735943198204,64.16658323340945,28.86821428571428,35.518214285714286,29.637857142857143,61.543214285714285,0.714596384568438,0.9252902261470579,0,0,0
Bagalkot,2015-06-22,2015,26,12.790990937915112,12.790990937915112,54.1021374894513,148.2621636937062,5.924004742668735,65.64939976980288,27.412142857142857,33.21285714285714,28.86821428571428,66.82214285714286,0.5563719174224965,0.9475975862081196,0,0,0
Bagalkot,2015-06-29,2015,27,3.3543803435232906,3.3543803435232906,33.71211196730534,129.55475542859898,12.790990937915112,54.1021374894513,26.58642857142857,32.206785714285715,27.412142857142857,70.72642857142857,0.3988561170828982,0.7856093884189332,0,0,0
Bagalkot,2015-07-06,2015,28,1.0972366846270032,1.0972366846270032,23.166612708734142,106.98957609219684,3.3543803435232906,33.71211196730534,26.373214285714287,32.21714285714286,26.58642857142857,71.23142857142858,0.14399429667095887,0.613441164440353,0,0,0
Bagalkot,2015-07-13,2015,29,9.034662526514795,9.034662526514795,26.2772704925802,111.23681292020613,1.0972366846270032,23.166612708734142,26.53642857142857,32.46964285714286,26.373214285714287,70.85571428571428,2.6729762880291443,0.575510402657839,1,0,0
Bagalkot,2015-07-20,2015,30,3.077306111653645,3.077306111653645,16.563585666318733,113.06412436813116,9.034662526514795,26.2772704925802,27.07107142857143,33.316428571428574,26.53642857142857,69.31678571428571,0.518938548518566,0.5384597482207707,1,0,0
Bagalkot,2015-07-27,2015,31,11.312141161825922,11.312141161825922,24.521346484621365,120.4983300541838,3.077306111653645,16.563585666318733,26.875,33.01357142857143,27.07107142857143,69.11178571428572,2.322821116838769,0.5575072283953794,1,0,0
