week_start,PRECTOTCORR,T2M_MAX,T2M_MIN,T2M,RH2M,district
2015-01-05,0.93,30.492,16.904,23.05,61.10799999999999,Bagalkot
2015-01-12,0.0,30.52857142857143,12.665714285714285,20.824285714285715,31.917142857142856,Bagalkot
2015-01-19,0.0,31.01142857142857,12.524285714285714,21.19,37.6,Bagalkot
2015-01-26,0.0,31.172857142857143,15.518571428571429,22.98428571428571,43.854285714285716,Bagalkot
2015-02-02,0.0,32.34142857142857,15.588571428571429,23.43,42.542857142857144,Bagalkot
2015-02-09,0.0,32.215714285714284,15.684285714285716,23.312857142857144,37.08,Bagalkot
2015-02-16,0.0,34.15714285714286,16.562857142857144,24.830000000000002,30.819999999999997,Bagalkot
2015-02-23,0.0,35.21714285714286,16.830000000000002,25.685714285714287,31.02285714285714,Bagalkot
2015-03-02,7.04,33.68857142857143,17.138571428571428,25.072857142857142,43.72428571428571,Bagalkot
2015-03-09,12.35,34.00714285714286,17.97,25.62,49.68285714285714,Bagalkot
2015-03-16,0.32,34.722857142857144,19.464285714285715,26.715714285714284,48.041428571428575,Bagalkot
2015-03-23,0.03,37.642857142857146,21.67142857142857,29.52857142857143,30.005714285714287,Bagalkot
2015-03-30,1.12,37.68,23.285714285714285,30.267142857142858,31.304285714285715,Bagalkot
2015-04-06,0.89,38.76428571428572,22.367142857142856,30.63,33.44571428571429,Bagalkot
2015-04-13,15.76,35.76714285714286,23.0,29.155714285714286,47.67285714285715,Bagalkot
2015-04-20,0.13,36.76142857142857,21.631428571428575,29.212857142857143,43.88,Bagalkot
2015-04-27,13.08,38.527142857142856,23.305714285714284,30.827142857142857,44.05142857142857,Bagalkot
2015-05-04,1.94,40.715714285714284,23.875714285714285,32.18,38.785714285714285,Bagalkot
2015-05-11,9.93,37.87428571428571,25.141428571428573,31.164285714285715,47.862857142857145,Bagalkot
2015-05-18,14.0,35.527142857142856,24.285714285714285,29.415714285714284,58.01714285714286,Bagalkot
2015-05-25,0.02,38.79714285714285,24.321428571428573,30.73428571428571,53.715714285714284,Bagalkot
2015-06-01,26.939999999999998,37.08714285714286,24.67142857142857,30.318571428571428,55.705714285714286,Bagalkot
2015-06-08,14.4,34.05571428571428,23.115714285714287,28.08285714285714,66.20857142857143,Bagalkot
2015-06-15,8.29,32.13285714285714,22.267142857142858,26.337142857142855,70.54285714285714,Bagalkot
2015-06-22,22.990000000000002,29.575714285714287,21.927142857142858,24.91,74.83142857142857,Bagalkot
2015-06-29,8.41,33.06285714285714,22.98428571428571,27.015714285714285,71.32285714285715,Bagalkot
2015-07-06,7.62,34.097142857142856,22.414285714285715,27.23,68.22857142857143,Bagalkot
2015-07-13,3.38,33.142857142857146,22.677142857142858,26.990000000000002,69.03999999999999,Bagalkot
2015-07-20,5.93,32.962857142857146,23.072857142857142,27.048571428571428,68.67571428571429,Bagalkot
2015-07-27,4.87,31.851428571428574,22.33857142857143,26.231428571428573,70.50285714285714,Bagalkot
2015-08-03,5.7700000000000005,33.27285714285714,21.745714285714286,26.604285714285712,67.24714285714286,Bagalkot
2015-08-10,8.78,32.06857142857143,22.419999999999998,26.312857142857144,70.95,Bagalkot
2015-08-17,33.69,32.36142857142857,22.05857142857143,26.237142857142857,72.65428571428572,Bagalkot
2015-08-24,46.22,30.645714285714288,22.08285714285714,25.624285714285715,77.60857142857142,Bagalkot
2015-08-31,53.81,31.77285714285714,21.388571428571428,25.592857142857145,75.78,Bagalkot
2015-09-07,28.45,31.417142857142856,21.315714285714286,25.70285714285714,74.90714285714286,Bagalkot
2015-09-14,31.18,29.36428571428571,21.104285714285712,24.49285714285714,81.22571428571429,Bagalkot
2015-09-21,16.32,29.791428571428572,21.59714285714286,24.92142857142857,80.28571428571429,Bagalkot
2015-09-28,2.08,32.271428571428565,21.62,26.325714285714287,73.05,Bagalkot
2015-10-05,32.370000000000005,30.884285714285713,21.382857142857144,25.407142857142855,77.52714285714286,Bagalkot
2015-10-12,11.629999999999999,31.497142857142858,21.384285714285713,25.725714285714286,73.89999999999999,Bagalkot
2015-10-19,0.0,33.55714285714286,20.69142857142857,26.56714285714286,62.08857142857143,Bagalkot
2015-10-26,0.0,33.34571428571429,19.291428571428572,25.735714285714288,59.69857142857143,Bagalkot
2015-11-02,0.6200000000000001,32.431428571428576,20.298571428571428,25.785714285714285,65.2642857142857,Bagalkot
2015-11-09,1.16,32.825714285714284,20.292857142857144,26.135714285714283,59.955714285714286,Bagalkot
2015-11-16,0.44,32.71857142857143,18.91714285714286,25.02,52.41428571428571,Bagalkot
2015-11-23,7.6000000000000005,32.44714285714286,20.095714285714287,25.485714285714288,65.07142857142857,Bagalkot
2015-11-30,0.13,32.417142857142856,18.28,24.689999999999998,58.41571428571428,Bagalkot
2015-12-07,0.18,32.41857142857143,18.458571428571428,24.62,57.31285714285714,Bagalkot
2015-12-14,0.27,34.32714285714285,19.388571428571428,26.535714285714285,51.98285714285714,Bagalkot
2015-12-21,0.0,34.67714285714286,19.155714285714286,26.46142857142857,44.29857142857143,Bagalkot
2015-12-28,0.0,31.975714285714282,14.95142857142857,22.724285714285713,35.74285714285714,Bagalkot
2016-01-04,0.0,32.81142857142857,14.237142857142857,22.744285714285716,43.36857142857143,Bagalkot
2016-01-11,0.0,31.12,14.64857142857143,22.314285714285713,42.00857142857143,Bagalkot
2016-01-18,0.0,31.53,15.877142857142857,23.44142857142857,45.962857142857146,Bagalkot
2016-01-25,0.48,30.84142857142857,17.965714285714288,24.068571428571428,48.55285714285714,Bagalkot
2016-02-01,0.0,35.03,16.79,25.382857142857144,28.974285714285713,Bagalkot
2016-02-08,0.0,35.30142857142857,17.56,25.987142857142857,33.31285714285714,Bagalkot
2016-02-15,0.0,35.09285714285714,19.27,27.07857142857143,41.61857142857143,Bagalkot
2016-02-22,0.0,36.628571428571426,19.87142857142857,28.062857142857144,36.457142857142856,Bagalkot
2016-02-29,0.01,37.44857142857143,22.534285714285716,29.832857142857144,35.050000000000004,Bagalkot
2016-03-07,0.8,36.29714285714286,23.16142857142857,29.53142857142857,34.818571428571424,Bagalkot
2016-03-14,0.0,38.31714285714286,22.63,30.294285714285714,30.8,Bagalkot
2016-03-21,0.0,39.455714285714286,20.955714285714286,30.108571428571427,30.487142857142857,Bagalkot
2016-03-28,1.7399999999999998,40.410000000000004,22.29,31.434285714285714,29.85571428571429,Bagalkot
2016-04-04,2.54,40.32714285714286,23.824285714285715,32.11,33.871428571428574,Bagalkot
2016-04-11,11.85,39.629999999999995,24.835714285714285,32.14,39.512857142857136,Bagalkot
2016-04-18,0.11,41.58857142857143,24.25142857142857,32.94428571428572,32.93,Bagalkot
2016-04-25,0.16,41.77571428571429,24.43142857142857,32.925714285714285,35.02142857142857,Bagalkot
2016-05-02,7.79,41.089999999999996,24.865714285714287,32.89142857142857,37.777142857142856,Bagalkot
2016-05-09,2.2,40.18,24.201428571428572,32.39714285714286,35.23857142857143,Bagalkot
2016-05-16,18.72,39.644285714285715,26.287142857142857,32.70428571428572,45.71,Bagalkot
2016-05-23,14.950000000000001,38.291428571428575,24.731428571428573,30.318571428571428,58.83428571428571,Bagalkot
2016-05-30,4.12,37.17142857142857,24.875714285714285,30.24285714285714,55.96857142857142,Bagalkot
2016-06-06,25.31,34.55428571428571,24.33857142857143,28.83142857142857,64.26857142857143,Bagalkot
